name,file,sourceUrl
Afflicted Outfits,Afflicted_Outfits.png,https://static.wikia.nocookie.net/tibia/images/b/b0/Outfit_Afflicted_Female_Addon_3.gif/revision/latest?cb=20110703045529&path-prefix=en
Ancient Aucar Outfits,Ancient_Aucar_Outfits.png,https://static.wikia.nocookie.net/tibia/images/e/ef/Outfit_Ancient_Aucar_Female_Addon_3.gif/revision/latest?cb=20221110000757&path-prefix=en
Arbalester Outfits,Arbalester_Outfits.png,https://static.wikia.nocookie.net/tibia/images/c/c7/Outfit_Arbalester_Female_Addon_3.gif/revision/latest?cb=20211008153855&path-prefix=en
Arena Champion Outfits,Arena_Champion_Outfits.png,https://static.wikia.nocookie.net/tibia/images/9/91/Outfit_Arena_Champion_Female_Addon_3.gif/revision/latest?cb=20170925205027&path-prefix=en
Armoured Archer Outfits,Armoured_Archer_Outfits.png,https://static.wikia.nocookie.net/tibia/images/2/2e/Outfit_Armoured_Archer_Female_Addon_3.gif/revision/latest?cb=20230414084544&path-prefix=en
Assassin Outfits,Assassin_Outfits.png,https://static.wikia.nocookie.net/tibia/images/a/aa/Outfit_Assassin_Female_Addon_3.gif/revision/latest?cb=20060829235945&path-prefix=en
Barbarian Outfits,Barbarian_Outfits.png,https://static.wikia.nocookie.net/tibia/images/3/38/Outfit_Barbarian_Female_Addon_3.gif/revision/latest?cb=20060828193706&path-prefix=en
Bat Knight Outfits,Bat_Knight_Outfits.png,https://static.wikia.nocookie.net/tibia/images/3/36/Outfit_Bat_Knight_Female_Addon_3.gif/revision/latest?cb=20251103045411&path-prefix=en
Battle Mage Outfits,Battle_Mage_Outfits.png,https://static.wikia.nocookie.net/tibia/images/0/0f/Outfit_Battle_Mage_Female_Addon_3.gif/revision/latest?cb=20230730025105&path-prefix=en
Beastmaster Outfits,Beastmaster_Outfits.png,https://static.wikia.nocookie.net/tibia/images/c/c1/Outfit_Beastmaster_Female_Addon_3.gif/revision/latest?cb=20150501152411&path-prefix=en
Beekeeper Outfits,Beekeeper_Outfits.png,https://static.wikia.nocookie.net/tibia/images/d/dd/Outfit_Beekeeper_Female_Addon_3.gif/revision/latest?cb=20240627002907&path-prefix=en
