name,file,sourceUrl
Alpha Demonosaur,Alpha_Demonosaur.png,https://static.wikia.nocookie.net/tibia/images/d/da/Alpha_Demonosaur.gif/revision/latest?cb=20250609070219&path-prefix=en
Antelope,Antelope.png,https://static.wikia.nocookie.net/tibia/images/8/8a/Antelope.gif/revision/latest?cb=20191113150441&path-prefix=en
Arctic Unicorn,Arctic_Unicorn.png,https://static.wikia.nocookie.net/tibia/images/b/ba/Arctic_Unicorn.gif/revision/latest?cb=20170828040205&path-prefix=en
Armoured War Horse,Armoured_War_Horse.png,https://static.wikia.nocookie.net/tibia/images/c/c8/Armoured_War_Horse.gif/revision/latest?cb=20141219153652&path-prefix=en
Azudocus,Azudocus.png,https://static.wikia.nocookie.net/tibia/images/a/ae/Azudocus.gif/revision/latest?cb=20141219153937&path-prefix=en
Batcat,Batcat.png,https://static.wikia.nocookie.net/tibia/images/d/d3/Batcat.gif/revision/latest?cb=20150430142745&path-prefix=en
Battle Badger,Battle_Badger.png,https://static.wikia.nocookie.net/tibia/images/b/ba/Battle_Badger.gif/revision/latest?cb=20190809124035&path-prefix=en
Battle Werewolf,Battle_Werewolf.png,https://static.wikia.nocookie.net/tibia/images/f/fd/Battle_Werewolf.gif/revision/latest?cb=20251103043529&path-prefix=en
Battlefrazzle,Battlefrazzle.png,https://static.wikia.nocookie.net/tibia/images/8/88/Battlefrazzle.gif/revision/latest?cb=20251113202920&path-prefix=en
Benevolent Coral Rhea,Benevolent_Coral_Rhea.png,https://static.wikia.nocookie.net/tibia/images/c/c1/Benevolent_Coral_Rhea.gif/revision/latest?cb=20200417211705&path-prefix=en
Benevolent Eventide Nandu,Benevolent_Eventide_Nandu.png,https://static.wikia.nocookie.net/tibia/images/7/72/Benevolent_Eventide_Nandu.gif/revision/latest?cb=20200417211704&path-prefix=en
Benevolent Savanna Ostrich,Benevolent_Savanna_Ostrich.png,https://static.wikia.nocookie.net/tibia/images/6/6c/Benevolent_Savanna_Ostrich.gif/revision/latest?cb=20200417211705&path-prefix=en
Black Sheep (Mount),Black_Sheep_(Mount).png,https://static.wikia.nocookie.net/tibia/images/1/14/Black_Sheep_%28Mount%29.gif/revision/latest?cb=20141219154237&path-prefix=en
